TOTAL,UK,JAPAN,SOUTH KOREA,CHINA,TAIWAN,AUSTRALIA,ARGENTINA,BRAZIL,COLOMBIA,VENEZUELA,ITALY,NETHERLANDS,SPAIN,SWEDEN,SWITZERLAND,FRANCE,GERMANY
"2,232,171","342,759","249,420","94,332","60,860","26,012","79,954","43,181","92,352","36,195","31,121","56,520","58,982","43,564","29,813","31,695","109,177","171,849"
"2,300,022","332,213","264,921","101,045","66,178","27,379","89,725","30,387","84,010","60,368","28,980","73,568","41,987","59,935","40,099","30,532","112,305","127,411"
"2,819,980","370,643","303,930","128,711","85,850","36,737","80,809","47,165","126,182","54,281","42,477","97,932","87,789","79,354","29,124","55,489","187,378","169,776"
"2,690,559","388,612","343,300","119,191","111,891","29,977","83,106","33,410","81,876","35,140","61,278","145,331","48,338","90,180","21,893","31,329","167,832","184,901"
"2,431,989","393,766","328,034","97,350","81,222","27,904","106,835","42,209","100,246","35,362","42,909","62,598","53,315","53,333","29,102","37,767","109,770","179,934"
"2,455,718","423,961","278,266","91,134","69,389","23,861","82,311","39,604","116,255","49,848","43,057","63,788","58,085","52,579","44,635","44,284","135,471","195,303"
"1,927,225","271,717","265,615","80,737","53,676","17,365","64,615","28,352","93,373","40,503","49,769","57,670","38,270","42,720","30,874","26,706","86,234","113,175"
"2,268,259","285,868","273,008","92,702","58,808","17,511","90,901","34,089","149,058","62,123","71,877","91,727","41,093","58,573","36,339","31,178","102,495","120,207"
"1,821,897","193,177","267,686","117,021","100,207","28,538","71,293","42,557","144,981","29,225","28,457","48,906","29,164","32,562","24,597","20,121","70,014","84,403"
"1,675,937","237,356","287,377","79,734","62,451","16,625","52,808","43,055","85,868","21,129","25,215","38,654","32,963","33,386","28,942","22,642","95,032","89,599"
"1,913,916","267,317","284,302","70,088","55,273","17,614","64,574","36,279","112,486","28,651","32,202","60,257","40,560","46,492","34,013","27,249","93,125","132,410"
"2,367,951","406,273","195,078","69,927","62,403","15,643","92,512","43,179","112,678","43,305","41,669","63,709","55,235","63,749","49,606","50,908","165,108","171,623"
"2,282,842","345,005","207,341","96,196","87,211","24,463","100,609","47,607","111,594","34,522","33,743","63,682","55,268","46,860","35,613","36,322","123,676","163,074"
"2,465,001","316,043","233,735","104,739","83,537","31,960","104,942","37,200","112,377","65,051","34,371","78,068","48,478","66,614","47,868","36,353","121,134","173,996"
"2,971,634","361,550","286,938","129,945","136,975","40,242","89,529","51,071","153,223","53,977","43,686","104,880","90,433","86,073","36,271","73,056","201,786","170,504"
"2,882,766","380,755","360,636","119,251","151,659","31,955","91,467","40,643","106,410","35,374","69,442","157,447","52,407","96,434","25,157","38,366","181,068","197,358"
"2,580,758","383,466","313,984","90,187","111,252","25,875","122,370","51,663","133,387","36,075","57,680","68,529","55,810","64,056","34,422","46,890","117,233","197,321"
"2,558,899","394,881","276,108","89,544","88,579","23,793","83,015","45,806","145,286","48,203","50,881","64,883","59,977","59,033","51,559","57,401","143,964","202,078"
"2,021,408","263,324","265,275","82,773","72,363","17,234","66,504","34,676","119,235","41,570","59,744","60,727","40,360","44,313","33,560","30,805","87,057","120,803"
"2,340,148","286,153","271,109","95,811","77,495","16,371","98,229","38,522","170,754","59,732","83,990","81,829","40,358","60,611","37,364","36,389","104,985","120,628"
"1,945,853","182,896","271,687","116,728","156,948","32,901","75,858","51,177","170,976","30,601","32,593","46,588","30,257","30,194","25,532","21,393","66,123","90,638"
"1,821,812","237,465","296,632","89,014","65,022","15,531","57,427","49,177","122,511","25,478","32,104","41,559","35,670","31,839","31,772","24,491","99,104","103,844"
"2,278,599","339,880","342,432","81,490","81,788","18,291","77,915","49,307","117,798","43,475","45,577","58,215","38,350","51,321","38,648","30,016","97,030","172,712"
"2,380,707","314,235","247,837","85,533","98,531","18,639","87,921","53,271","135,493","41,230","44,338","64,502","56,532","51,176","46,332","52,080","176,967","154,404"
"2,473,500","331,677","256,548","101,333","115,762","23,624","100,098","55,164","136,943","42,519","40,033","58,915","55,160","43,382","35,007","40,187","126,129","184,953"
"2,620,500","323,334","281,461","112,676","118,529","31,178","108,830","45,344","127,083","74,670","43,034","74,329","47,644","57,165","47,064","36,671","114,720","155,141"
"3,056,930","350,322","322,530","130,258","187,507","33,515","96,360","58,725","169,910","58,745","61,357","96,304","88,767","69,691","33,829","74,223","187,186","176,968"
